CarDetailID,ProductID,CarColor,CarModelYear
69841082,9824,Goldenrod,2001
75614394,2631,Red,2008
25424060,149,Puce,1992
61374655,8521,Puce,2001
59773125,9453,Red,2003
60078281,4876,Blue,2008
76044490,7833,Aquamarine,1994
72491209,2755,Teal,2004
84170956,9933,Purple,1989
71758030,4829,Violet,1993
70496468,4514,Pink,2006
86821077,4469,Maroon,2004
39751895,3865,Violet,2002
38263000,5712,Pink,1999
80541913,8687,Pink,2010
42385624,9633,Pink,2007
68628696,7989,Pink,1970
57880796,4440,Green,2003
20302040,5252,Turquoise,2009
54743262,4942,Maroon,2009
28027104,232,Crimson,2005
19562721,7064,Fuscia,1978
61788385,6292,Blue,2008
22257890,9324,Blue,1993
19382497,8159,Maroon,1994
90351845,9814,Puce,2013
74502369,9174,Mauv,2009
26763492,7925,Blue,1998
67234018,6395,Green,2003
71020780,8034,Red,2009
54198511,7619,Red,1999
42500336,7023,Teal,1995
14770418,7855,Red,2004
60492025,4571,Red,2007
55048442,184,Turquoise,1996
72038659,4143,Green,2008
25942277,8525,Yellow,1994
76704007,9229,Violet,2011
14065929,8155,Crimson,1986
71016713,720,Puce,1998
25594121,9609,Mauv,1996
17983754,7713,Khaki,1997
16697613,7535,Puce,1999
46682382,695,Indigo,2010
22587663,4198,Blue,2011
13451536,1291,Green,2007
41666832,7949,Mauv,2010
71649556,7076,Teal,1993
39289109,8231,Blue,2003
88639765,8139,Indigo,1997
69265687,503,Khaki,2009
71450904,2199,Turquoise,1989
92633369,4530,Green,2003
13691165,1955,Orange,2008
81662240,245,Purple,1997
84842786,7915,Purple,2003
86133032,9827,Maroon,2010
59017516,6563,Teal,1995
32741678,9606,Turquoise,1996
96338224,6552,Crimson,2010
57291060,3501,Purple,2011
67692853,321,Red,2008
81944884,2171,Puce,1998
63383866,4107,Pink,2007
55476539,5499,Pink,2006
55277887,9955,Turquoise,2000
18114879,6011,Indigo,2012
11776322,5285,Crimson,2009
85576008,8077,Turquoise,2010
81281353,9602,Violet,2007
39790921,5103,Aquamarine,1989
10948941,3332,Green,1999
28133709,8964,Puce,2010
38512979,2189,Crimson,2008
91101525,1741,Khaki,1996
16869718,5523,Purple,1999
46510423,4874,Violet,1997
41460055,981,Puce,2004
43338076,8739,Yellow,2002
22034780,1811,Orange,1997
61331806,7674,Maroon,2005
20615516,5771,Turquoise,2011
42355042,9232,Blue,1992
84054371,2182,Purple,1994
99656036,8026,Green,2009
67060067,8499,Turquoise,2007
99350886,5751,Crimson,2003
62196072,600,Aquamarine,2006
84722025,3834,Yellow,2006
57532779,7671,Blue,2002
60586349,8117,Goldenrod,2012
90069358,2757,Mauv,2000
71649648,301,Purple,2006
62841201,3404,Orange,2007
41752949,522,Puce,1993
84566389,9927,Maroon,2000
18338168,5419,Crimson,1991
53172601,6719,Indigo,2010
40608127,702,Violet,2005
46033279,966,Goldenrod,2001
91081087,292,Yellow,2011
42080645,205,Indigo,1993
50583944,5599,Puce,1997
89627017,5183,Purple,1988
62005643,4650,Crimson,1987
50753932,2759,Pink,1992
74482061,9426,Purple,2009
37974419,8171,Orange,2011
35137941,2743,Blue,1994
65747354,3504,Aquamarine,2005
62019997,8295,Goldenrod,2012
39993758,8232,Crimson,1990
71854494,9959,Fuscia,2001
52748702,3851,Puce,2013
27668897,6072,Red,2010
64111016,9421,Goldenrod,1990
69697963,801,Maroon,2003
94517675,2253,Puce,2010
41497005,1174,Orange,2011
88902064,2763,Blue,2007
63150515,203,Indigo,1982
35670453,743,Teal,1991
93383094,5903,Goldenrod,2006
14268858,8086,Crimson,2009
99086778,6994,Red,1993
40962495,7846,Yellow,2012
64696769,3029,Yellow,2006
14162372,835,Green,2000
81891785,7747,Purple,2002
34898378,2491,Yellow,1996
28152267,9366,Fuscia,1990
90102222,1422,Goldenrod,1997
34144719,8723,Orange,1999
88953301,794,Goldenrod,2007
49658326,1279,Teal,1994
61434327,5021,Purple,2010
36815323,403,Orange,2001
91908572,2632,Yellow,2003
12270043,8233,Aquamarine,1989
13324768,8261,Goldenrod,1989
59378147,672,Yellow,2008
25250278,8554,Yellow,2006
53656041,7978,Maroon,1998
49250793,8393,Mauv,2004
99355115,1129,Goldenrod,2010
64741865,9501,Maroon,1998
26276338,6919,Turquoise,2001
39387638,4349,Aquamarine,1992
53058045,3852,Fuscia,1998
23517697,9343,Crimson,2011
10097154,3893,Teal,2002
63240707,9455,Orange,2001
69059073,5849,Maroon,2003
56070662,207,Indigo,2007
94509574,53,Puce,1992
48876046,3887,Indigo,2010
25143826,4050,Yellow,1987
55849494,8664,Blue,2002
20236823,5375,Teal,2007
99314199,7109,Khaki,2003
26774038,3508,Indigo,2007
56402458,8819,Purple,2000
87443993,8751,Fuscia,2011
66910753,2559,Turquoise,1993
36389411,9452,Green,2007
23120421,284,Turquoise,1977
68127269,1739,Teal,1985
91398694,9179,Puce,2000
53684776,6093,Aquamarine,1984
50747945,4873,Green,1998
18391590,8884,Goldenrod,2008
79938085,4872,Yellow,1996
59572788,1641,Blue,2000
59167285,4549,Green,2009
22723124,3830,Aquamarine,1992
24281657,8773,Pink,2010
73560645,2103,Maroon,2010
38894150,159,Red,2012
14758471,2169,Crimson,2004
63371848,4679,Indigo,1996
19245638,529,Yellow,1999
14938699,3766,Orange,2007
92934736,729,Orange,2009
96983637,3826,Purple,2007
72010326,9001,Yellow,2008
88386134,8007,Khaki,1990
48319072,5792,Orange,1992
25616994,9045,Yellow,1997
63806051,4441,Khaki,2009
16777830,411,Maroon,2001
94194279,2591,Fuscia,2005
92936810,4108,Fuscia,1996
19137131,3451,Crimson,1991
54035053,4299,Maroon,1993
59253358,24,Crimson,2003
29688433,3222,Purple,1995
15825522,612,Crimson,2005
85490293,3929,Violet,2012
60314234,8772,Red,2009
67551873,7968,Yellow,1988
71989890,8460,Aquamarine,1990
77091459,437,Indigo,2004
95029895,1033,Pink,2002
61919881,5759,Teal,2006
92840587,6561,Mauv,1985
86028944,7839,Goldenrod,1985
94605969,3610,Purple,1991
14121619,1481,Goldenrod,2004
18150042,5719,Puce,1996
93739679,436,Blue,2006
11803296,4041,Fuscia,1988
16329378,146,Violet,2007
28052132,9542,Indigo,2005
67977894,8052,Khaki,2007
56449707,8765,Mauv,2012
23276204,7050,Crimson,1999
77910707,5596,Blue,2011
28312245,8520,Pink,2005
99461814,5561,Pink,2007
55108277,8945,Pink,1999
58362553,1431,Khaki,2006
79342265,3923,Khaki,2012
50803388,8702,Indigo,1999
96199357,6693,Crimson,2003
40231612,4222,Yellow,2002
29835967,157,Indigo,1993
88011456,3224,Pink,2000
41824961,1242,Blue,2002
31429312,6901,Violet,2009
52867779,5501,Yellow,2011
96187077,1343,Violet,2002
22981318,3474,Teal,2011
59304650,4042,Khaki,1996
60670668,3509,Green,2009
21648078,8379,Mauv,1993
95199951,3241,Turquoise,2009
95658707,8717,Khaki,2009
46459611,1243,Aquamarine,2001
93231835,1732,Pink,1992
19180253,9958,Fuscia,1987
92289758,6669,Aquamarine,1991
69251807,5535,Goldenrod,2009
58901217,9086,Mauv,2012
92672738,754,Yellow,1993
19899106,3880,Purple,1962
23020262,8078,Blue,2004
67601131,2629,Aquamarine,2006
14136045,4831,Blue,1985
16098033,9813,Puce,2005
50529012,6923,Aquamarine,2002
40278772,668,Maroon,1985
90346233,8771,Yellow,1996
93354757,7762,Aquamarine,1967
22530821,771,Turquoise,2007
21844743,596,Green,2004
14566154,6739,Orange,2004
51067661,1919,Mauv,2006
57801487,8408,Khaki,1994
81728271,1229,Purple,1991
47082257,9189,Aquamarine,2008
53398290,8847,Puce,2011
27077395,3931,Aquamarine,1987
38818589,8713,Fuscia,2010
64850718,3617,Pink,1999
59585311,9175,Violet,1995
18127651,844,Yellow,1991
47086374,9303,Khaki,2007
36049702,8219,Orange,1995
17193767,9301,Orange,2004
64973609,1152,Purple,1993
97262389,9164,Indigo,1990
34812727,9541,Turquoise,2004
77542202,1601,Purple,1985
55475003,8844,Aquamarine,2004
37514046,9391,Violet,1997
32293698,8801,Violet,2006
33897282,8545,Violet,1988
44708677,3422,Pink,1996
68985670,8799,Red,1993
98919237,3964,Mauv,2006
47166282,8461,Pink,2012
50991946,3712,Mauv,1999
58233676,8033,Aquamarine,2007
76698444,7940,Khaki,1998
34569038,8729,Purple,2010
95089484,4834,Purple,1994
42840910,6062,Crimson,2009
60750669,7072,Fuscia,2005
63050575,2186,Goldenrod,1990
41847635,3924,Maroon,1997
50135891,1254,Aquamarine,1999
71191372,5317,Aquamarine,2012
39525211,752,Aquamarine,1987
11215710,4199,Red,1995
57695071,1212,Violet,2003
69954401,4511,Puce,1995
78164834,7844,Fuscia,1992
38888291,1689,Purple,1994
36342629,9637,Goldenrod,1987
58149734,7712,Teal,1995
87444327,5102,Indigo,2008
29619048,2642,Goldenrod,2005
21850984,8602,Puce,1997
38753131,8864,Khaki,1990
62737260,9433,Yellow,2007
97508208,8621,Purple,2006
70515571,5179,Green,1999
80800628,2919,Khaki,2009
46873465,9979,Maroon,2006
98569083,6531,Red,1992
29780862,9644,Khaki,1986
41849728,91,Turquoise,1989
63206276,47,Indigo,2001
82545543,3221,Khaki,2000
91292557,9372,Violet,1984
54514574,7971,Red,2010
72180621,8627,Crimson,2011
65708950,32,Puce,2000
93008790,7889,Green,1989
70562712,4685,Red,1997
55624601,8425,Purple,2009
76133271,869,Red,1988
10752923,9946,Pink,2011
17234844,1265,Goldenrod,1998
19213212,6869,Maroon,1999
87952291,34,Maroon,1990
57066409,1698,Mauv,1999
73888690,9646,Yellow,1996
13216690,9961,Yellow,2004
43764658,8609,Red,1992
65014709,5497,Purple,2005
76710838,304,Orange,1993
34128825,3526,Goldenrod,2007
33887161,128,Pink,1987
65135547,7491,Indigo,1994
37686208,8245,Violet,1987
71154627,8492,Maroon,2009
93440965,7737,Green,2000
18351050,7766,Maroon,2008
99736527,713,Khaki,2010
74261456,29,Teal,1996
20839381,8873,Blue,2004
79098837,9749,Turquoise,1997
42824662,7979,Violet,1997
71355352,5569,Crimson,2004
53306328,8362,Crimson,1999
49419226,519,Yellow,2008
13161439,4253,Yellow,1989
55358432,891,Pink,1993
55931873,8692,Crimson,1994
51524585,4256,Green,2007
23245802,3773,Aquamarine,1994
26760171,3794,Green,2001
61807596,8897,Crimson,1999
23423981,7012,Pink,1991
11647982,7532,Fuscia,2011
98454514,9737,Goldenrod,1984
86807541,872,Fuscia,2005
15170550,7865,Orange,1987
22283255,2072,Aquamarine,1993
46492661,77,Yellow,2002
64992248,3793,Maroon,2004
14040059,9216,Crimson,1983
53668861,7678,Pink,1999
60075010,5329,Yellow,1985
30133250,1755,Aquamarine,2004
75668484,9976,Khaki,2009
57316358,8387,Maroon,2006
44051465,9635,Teal,1999
25838603,633,Teal,2003
61754382,81,Aquamarine,1998
63335439,9451,Puce,2000
49107983,8804,Crimson,2009
73673746,9915,Purple,1981
38335511,9194,Red,2012
43740187,504,Green,2003
66802721,8594,Blue,1991
19088418,7121,Yellow,2002
97229862,4575,Blue,2008
19276843,8395,Puce,1985
30106668,4551,Pink,1989
21107763,5199,Indigo,2013
46513204,7786,Purple,2004
46390325,9981,Red,1999
22266936,4381,Orange,2004
88898620,5110,Pink,2006
62559294,5893,Purple,2009
83721280,6695,Red,2006
69508167,4289,Maroon,2002
23196743,4614,Pink,1992
92197961,5162,Purple,1989
25078858,3331,Fuscia,2000
81030215,2933,Blue,1997
30706761,12,Fuscia,1999
33387597,3729,Aquamarine,2012
93746252,6696,Pink,2007
90745935,5029,Pink,1994
25060433,4466,Green,2005
70900817,4972,Blue,2005
68004957,402,Mauv,1998
44751966,9161,Maroon,1985
44115039,8415,Purple,1997
33864801,4240,Turquoise,1995
39359590,9136,Aquamarine,2011
43023470,69,Aquamarine,2005
27872371,3753,Purple,2012
56675446,1031,Purple,2002
59452534,7882,Pink,1986
21339257,2242,Green,2005
79914106,58,Yellow,2004
79807609,3785,Teal,2003
87780483,8866,Red,1998
44311686,9317,Red,2007
69530759,4641,Blue,1996
46967946,8473,Crimson,2008
69256332,50,Goldenrod,1967
55520397,3143,Crimson,1989
92955789,4561,Pink,2004
24431760,3925,Khaki,2009
69694610,5900,Goldenrod,2009
97608851,3429,Yellow,2002
14804116,3481,Goldenrod,1991
48979091,5369,Goldenrod,2002
78222484,2779,Crimson,2009
28269715,7704,Turquoise,2009
76735642,2799,Yellow,1987
39621791,118,Puce,1997
51795104,3764,Teal,1993
44924068,3403,Yellow,1996
69932196,2371,Yellow,2003
71546023,3775,Purple,1994
86185128,4623,Indigo,1997
91368617,4519,Goldenrod,1994
87958697,5292,Maroon,2002
93451435,5593,Orange,2010
69698741,7937,Turquoise,1997
17245367,5824,Green,2012
21277881,8876,Orange,2001
57140409,8269,Red,2011
10816700,1724,Orange,2002
17640641,9545,Turquoise,2008
38012097,9154,Blue,2007
19360962,3452,Goldenrod,2012
12557505,8960,Maroon,2005
21732550,3227,Blue,2011
97324232,370,Aquamarine,2002
79932617,2219,Indigo,2011
67603658,161,Orange,1997
25025739,7711,Red,1994
31911117,5821,Yellow,2000
16186574,3172,Red,2007
55043279,7878,Yellow,1989
32416975,442,Goldenrod,1969
38319316,7031,Turquoise,2011
37203157,9643,Teal,2002
77286620,9219,Indigo,1968
17892576,500,Turquoise,2005
46322913,8684,Yellow,1990
63706342,8944,Red,1997
95370479,3121,Khaki,1967
14572786,7779,Khaki,2003
73272562,5311,Mauv,2003
59641077,3814,Pink,1997
95526135,8115,Purple,1996
81284350,243,Violet,2009
83850494,5845,Turquoise,1987
21253377,7923,Red,2000
64892165,9988,Khaki,1992
25605382,8039,Pink,2011
67114256,9802,Indigo,2000
11617554,282,Indigo,2006
73045266,5193,Crimson,2010
30940439,9616,Green,1985
93443351,8861,Indigo,2001
68429081,2104,Red,1995
15564059,9315,Fuscia,1993
32587039,9411,Goldenrod,2004
55194911,8070,Red,2010
77217057,5296,Fuscia,2011
32427298,7091,Indigo,2000
82693412,1231,Khaki,1977
13743398,7965,Violet,1997
91174182,6691,Mauv,2012
26277163,394,Khaki,2004
58334513,1693,Indigo,2001
91415858,5253,Teal,1993
28114229,6823,Fuscia,1995
15025462,8289,Khaki,2009
61453623,214,Mauv,2010
32931131,5304,Yellow,2006
29902144,3428,Fuscia,2010
43017538,1233,Yellow,2008
66442564,2741,Orange,1990
36119878,1672,Yellow,1971
25206087,8962,Yellow,1997
34714952,3811,Maroon,2007
84690247,7790,Khaki,2010
79123786,6991,Khaki,2008
64210251,8256,Indigo,2008
48530766,6019,Violet,1993
32636239,9607,Mauv,1986
17143121,9509,Indigo,2011
18722131,6381,Yellow,1985
14540119,8122,Teal,2007
50906458,6594,Blue,1998
57726300,8294,Maroon,2006
20919645,3329,Blue,1998
18320733,765,Goldenrod,2005
46398812,8181,Purple,1992
61263199,9632,Mauv,2012
54965602,7824,Purple,1984
15689060,9101,Puce,2008
81546596,3,Puce,2012
47926630,449,Pink,2000
53370214,359,Maroon,1986
84538727,3974,Maroon,1997
76725609,7251,Crimson,2001
65914223,5673,Orange,2012
66643319,4449,Blue,1985
21099896,7869,Purple,2012
91143544,5012,Mauv,2012
24812922,9209,Indigo,1999
50576760,5214,Turquoise,2005
19694972,1253,Fuscia,2004
99841401,701,Puce,2009
20352382,5314,Violet,2012
66700671,9213,Green,2007
87614849,1751,Puce,1994
15453578,8902,Khaki,2006
20893077,435,Mauv,2010
20002201,7879,Violet,2004
77979033,2912,Fuscia,2005
29627803,8384,Pink,2007
24010140,8835,Blue,2007
44338588,4195,Orange,2004
39824793,8184,Pink,2007
78953886,3341,Yellow,1987
77733280,9944,Turquoise,1997
89003417,1411,Red,2004
17757602,9525,Green,2003
55483813,8849,Red,1988
36660652,7252,Pink,2004
15115694,4282,Orange,1994
41000367,1781,Turquoise,2000
58197427,331,Blue,1993
87737781,9991,Teal,1991
39863734,9015,Violet,2001
24876471,3581,Puce,1984
28454328,5909,Turquoise,2011
70235576,8735,Goldenrod,2001
12125627,4574,Green,2001
67446206,8374,Purple,2005
68974015,31,Crimson,2002
22222278,336,Aquamarine,2000
38792648,8693,Blue,2006
50253260,8087,Fuscia,2007
25210319,9547,Aquamarine,1993
32568785,544,Yellow,2010
20600278,2105,Puce,1996
71116248,9917,Red,2012
19733977,8094,Green,2009
19119581,7912,Fuscia,2011
56681950,8394,Turquoise,1996
97404387,2263,Violet,1984
17122787,3886,Puce,1997
91176419,873,Aquamarine,1990
82726374,5363,Maroon,1969
15877606,9125,Blue,1992
82974187,5461,Red,1964
76334572,1273,Blue,2008
29902318,604,Puce,2003
25454062,248,Turquoise,2005
27312125,8125,Violet,2012
52422130,7877,Yellow,2010
46806518,8422,Maroon,1992
20375031,9135,Blue,2006
22218233,5633,Indigo,2007
52155898,9171,Violet,2003
23725562,9042,Blue,2011
34809340,7695,Goldenrod,2004
58836484,4672,Orange,1999
23711237,8874,Teal,2010
87320068,8412,Violet,2008
36800008,922,Orange,1997
46755337,6097,Fuscia,2008
29986314,7811,Indigo,2004
28534282,4526,Red,1994
19631628,476,Green,1993
16987660,4696,Crimson,2008
21446157,2309,Pink,1999
25755151,1712,Green,2013
78083598,8724,Purple,1998
27473425,1255,Khaki,2006
60190232,4132,Pink,2000
37221912,3479,Puce,2007
45782553,2311,Purple,2001
69309979,4573,Orange,1999
97908251,4341,Goldenrod,2007
30191134,9969,Turquoise,2008
91987490,532,Aquamarine,1993
48287268,295,Khaki,2005
69117479,9658,Khaki,1992
20592171,9522,Pink,2007
54435371,9909,Yellow,2008
49960493,1631,Teal,2002
19342894,8966,Aquamarine,2007
74352173,8948,Red,1994
33674799,4421,Fuscia,2009
35024431,6191,Teal,2007
38116917,9341,Red,1986
39976502,3860,Purple,2000
93439998,346,Aquamarine,1999
59268667,7913,Turquoise,1992
51463740,5464,Fuscia,2004
24784446,1359,Pink,2003
84749887,9311,Violet,2012
55424575,2932,Violet,2012
25239105,1287,Puce,2003
77678150,1453,Goldenrod,2004
64185927,1699,Indigo,2004
79617618,881,Aquamarine,2012
41803349,8372,Maroon,2001
14427738,721,Violet,2005
90893915,6639,Khaki,1999
35157600,8544,Goldenrod,1997
84328033,4491,Pink,2009
13657697,254,Indigo,2010
78741091,3966,Maroon,2002
34471524,9423,Indigo,1984
76699235,9534,Aquamarine,1993
53028454,4529,Purple,2000
25744992,7094,Turquoise,1994
38839911,3761,Purple,1996
99507818,5532,Yellow,2005
32388719,9436,Mauv,1985
55373425,9381,Red,1988
56626804,90,Aquamarine,1996
68253301,8454,Indigo,1987
55516790,6941,Puce,1986
66287223,7931,Fuscia,1992
81235578,4131,Turquoise,1992
44062331,9912,Khaki,2007
48582273,9622,Crimson,2005
31575681,4994,Indigo,1988
87729801,821,Pink,1994
95413900,7974,Purple,2007
82126477,3798,Orange,2010
16123543,5672,Indigo,2009
35319449,3829,Maroon,2011
22353562,8552,Puce,2010
73928350,1529,Green,1993
50331295,392,Teal,1995
82456225,85,Red,1997
10845860,5553,Teal,2007
68169383,294,Violet,1996
63798951,7254,Teal,2006
65998508,3350,Teal,2012
99337900,7771,Mauv,1985
32511663,3888,Violet,2007
12807858,5283,Indigo,2000
95254196,6444,Turquoise,1970
90533559,7022,Violet,1998
75171512,973,Goldenrod,1996
78493369,9772,Puce,1987
91920064,9382,Khaki,1995
71106241,5661,Mauv,2011
53765828,9711,Indigo,2006
50777800,9821,Indigo,1998
89824977,8373,Orange,2005
30025425,3983,Blue,1994
49585877,7071,Violet,1969
39425755,61,Teal,1985
27723498,7642,Crimson,1994
37897963,8398,Mauv,2004
40730348,5694,Khaki,2008
36843245,8673,Turquoise,2003
28669683,5589,Red,1996
11194100,6711,Khaki,2010
92423931,7722,Mauv,2013
66858750,6299,Turquoise,2006
34393856,8480,Maroon,1993
68359938,7706,Pink,1990
49145603,2499,Green,2012
40617734,593,Indigo,1994
53350151,8019,Khaki,2000
42131208,1711,Goldenrod,2005
50712329,5785,Pink,2006
60495622,5300,Purple,1998
97746699,5581,Yellow,1979
59055886,1665,Goldenrod,1993
58224400,9329,Puce,1990
66232082,1662,Crimson,2009
77903636,3889,Puce,2009
95934228,696,Pink,2004
69089050,2039,Orange,1997
21096220,3787,Turquoise,2011
71819036,9859,Purple,2008
94705440,8023,Goldenrod,2007
25349921,5582,Green,1998
90988322,8909,Crimson,1985
63346470,9543,Indigo,2010
50655016,7729,Blue,2009
14997291,2109,Green,1998
18984749,8447,Red,2004
89917229,809,Khaki,1995
88459054,5019,Pink,2011
18018096,9823,Indigo,2012
92276528,6573,Goldenrod,2002
62521142,742,Puce,1984
96501563,4682,Fuscia,1977
91660094,8163,Mauv,1992
22431557,7641,Khaki,1992
31532872,6511,Teal,1980
87994184,8663,Goldenrod,2004
88141644,9064,Blue,1995
96106319,3999,Indigo,2000
65357650,8271,Turquoise,1992
63938386,4011,Khaki,2012
67331928,9761,Blue,2008
57536353,1839,Crimson,1997
95983458,5295,Maroon,1994
68683618,23,Pink,2011
52877159,3378,Yellow,2009
80559977,9932,Turquoise,1996
28295018,5822,Violet,2004
30517098,8180,Orange,2012
49325932,728,Purple,2003
77576047,8574,Mauv,2010
83443569,3570,Mauv,2002
99968882,9811,Orange,1965
16123763,7724,Teal,1995
76463989,7664,Purple,2001
46026614,8042,Green,2011
32597879,8162,Puce,1996
13598585,8522,Green,1998
83228542,9006,Khaki,1999
72361856,2098,Blue,1991
41377664,9402,Crimson,2012
90124163,8809,Orange,2006
27133830,38,Yellow,1996
91649934,9925,Purple,1993
80269199,9305,Mauv,2009
64790415,6611,Goldenrod,2007
12674961,9432,Mauv,2003
11347857,5141,Red,1987
36857751,1142,Khaki,1997
84027289,9671,Mauv,2001
99940250,8901,Red,1976
72624031,8043,Crimson,2004
80295839,3796,Aquamarine,2005
80500641,8457,Puce,1989
78573475,131,Green,1999
89098148,9755,Mauv,2005
41662373,8397,Violet,2011
92192679,110,Teal,2009
40978343,1173,Khaki,2002
83140521,7759,Maroon,1993
92592042,4284,Mauv,2001
97988523,561,Fuscia,2009
82284459,64,Green,1995
99274669,9239,Violet,2004
75087788,481,Yellow,2004
78387121,9193,Mauv,2007
72697782,3409,Turquoise,2010
14444471,9945,Teal,2006
95272888,524,Aquamarine,2012
78256057,7093,Yellow,2008
86814649,1241,Violet,2002
89642936,7910,Crimson,1985
92149696,4849,Turquoise,2007
11364289,8904,Aquamarine,1988
97589186,4402,Turquoise,2001
88588224,2271,Red,2009
20901827,419,Puce,2010
19531718,3553,Crimson,2006
19675079,885,Goldenrod,1994
28809160,4231,Khaki,1994
98861003,7631,Fuscia,2003
62253004,3528,Green,2011
23930829,9703,Blue,2013
41889744,4499,Orange,1999
52578259,4255,Mauv,2011
29282261,887,Orange,2007
42356694,3195,Goldenrod,1991
51384283,9304,Red,2009
88344539,8585,Red,2009
43442143,3868,Maroon,2009
91228128,114,Blue,1993
74627045,7748,Green,2003
54874087,9396,Puce,1994
35669992,8675,Aquamarine,2002
26343401,8131,Yellow,1992
47382507,9829,Fuscia,1991
99493869,3604,Blue,1994
31115246,6219,Red,2012
17369071,4254,Orange,2006
42305522,3598,Khaki,1996
75718642,9656,Khaki,1999
57378808,7534,Fuscia,2004
13320185,7982,Khaki,2006
79263741,8051,Green,2012
46108670,9722,Goldenrod,1995
